route,language,region,family,primary_intent,research_state,assigned_queries,next_action,answer_completeness
/,en,shared,shared or regional page,Online Legal Consultation.,dated-observed-query-candidates,counselo,Validate candidate queries against full answers and jurisdiction before editing,not-established-by-assignment-or-html-parsing
/blog/ar/almswwlyh-alaqdyh-fy-alqanwn-alswry,ar,shared,article,المسؤولية العقدية في القانون السوري,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/almswwlyh-an-fal-alghyr,ar,shared,article,المسؤوليه عن فعل الغير,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/alrda-fy-alqanwn-alswry,ar,shared,article,الرضا في القانون السوري,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/alsnd-lamr-kadah-dman-mta-ythwl-ala-khtr-tnfydhy,ar,shared,article,السند لأمر كأداة ضمان: متى يتحول الى خطر تنفيذي.,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/altakhr-fy-alrwatb-aw-alamtnaa-an-dfaha,ar,shared,article,التأخر في الرواتب أو الامتناع عن دفعها,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/altawyd-an-alakhlal-balaqd-fy-alqanwn-alswry,ar,shared,article,التعويض عن الإخلال بالعقد في القانون السوري,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/altwqya-ala-byad,ar,shared,article,التوقيع على بياض.,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/altwsyat-alamlyh-lsyaghh-aqd-qwy,ar,shared,article,التوصيات العملية لصياغة عقد قوي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/anha-aqd-alaml-bdwn-sbb-mshrwa,ar,shared,article,إنهاء عقد العمل بدون سبب مشروع,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/aqwd-alamtyaz-altjary-alfrnshayz-fy-alnzam-alsawdy,ar,shared,article,عقود الامتياز التجاري (الفرنشايز) في النظام السعودي,dated-observed-query-candidates,شروط الامتياز التجاري في السعودية | نظام الامتياز التجاري | نظام الامتياز التجاري في السعودية,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/aqwd-almqawlat-fy-alnzam-alsawdy,ar,shared,article,عقود المقاولات في النظام السعودي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/aqwd-alwkalat-altjaryh-fy-alnzam-alsawd,ar,shared,article,عقود الوكالات التجارية في النظام السعودي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/athbat-alaqwd-amam-alqda-alsawdy,ar,shared,article,اثبات العقود أمام القضاء السعودي.,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/bna-astratyjyh-aldfaa-qbl-bd-alkhswmh,ar,shared,article,بناء استراتيجية الدفاع قبل بدء الخصومة.,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/commercial-supply-contracts-in-saudi,ar,shared,article,عقود التوريد التجارية في السعودية,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/consensual-formal-real-contracts-syrian-law,ar,shared,article,العقود الرضائية والشكلية والعينية في القانون السوري.,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/contract-interpretation-syrian-courts,ar,shared,article,تفسير العقود أمام القضاء السوري,dated-observed-query-candidates,القانون المدني السوري إذا كانت عبارة العقد واضحة فلا يجوز الانحراف عنها | القانون المدني السوري تفسير العقد نية المتعاقدين المادة,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/contractual-liability-in-commercial-transactions,ar,shared,article,المسؤولية العقدية في المعاملات التجارية.,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/defects-of-will-syrian-law,ar,shared,article,عيوب الإرادة في القانون السوري: الغلط والإكراه والتدليس والاستغلال,dated-observed-query-candidates,عيوب الارادة | عيوب الاراده,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/e-contracts-legal-validity-saudi-arabia,ar,shared,article,العقود الإلكترونية في النظام السعودي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/formation-of-commercial-contracts-saudi-law,ar,shared,article,تكوين العقد التجاري في النظام السعودي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/fskh-alaqd-altjary-fy-alnzam-alsawdy,ar,shared,article,فسخ العقد التجاري في النظام السعودي,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/hdwd-alymyn-alhasmh-fy-alathbat-almdny-swry,ar,shared,article,حدود اليمين الحاسمه في الاثبات المدني - سوري,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/hmayh-alamyl-mn-mswdh-alaqd-ala-altwqya,ar,shared,article,حماية العميل من مسودة العقد الى التوقيع.,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/hwkmh-alshrkat-kdmanh-mwdwayh-lhmayh-hqwq-msahmy-alaqlyh,ar,shared,article,حوكمة الشركات كضمانة موضوعية لحماية حقوق مساهمي الأقلية,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/hyn-ykwn-alaqrar-aqwa-mn-alankar,ar,shared,article,حين يكون الإقرار أقوى من الإنكار,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/lys-kl-mblgh-ytalb-bh-yhkm-bh-kyf-tfkk-almtalbat-altjaryh-qbl-bna-aldfaa,ar,shared,article,ليس كل مبلغ يُطالب به يُحكم به: كيف تُفكك المطالبات التجارية قبل بناء الدفاع؟,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/mhl-alaqd-fy-alqanwn-alswry,ar,shared,article,محل العقد في القانون السوري,no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
/blog/ar/mnhjyh-5why-fy-alaml-alqanwny,ar,shared,article,"منهجية ""5Why"" في العمل القانوني",no-direct-query-evidence-in-inputs,,"Monitor changes in purpose, services and observed searches; linked-page work remains separate",currently-reviewed-intents-complete-for-defined-page-purpose
